# 0xd < 201.42.24.136	0xe1 < 201.42.24.136	0x1 > 201.42.24.136	0x61 < 201.42.24.136	0xcd < 201.42.24.136	0x4d < 201.42.24.136	0x61 > 201.42.24.136	0xc1 < 201.42.24.136	0x1 < 201.42.24.136	0xd > 201.42.24.136	0xc1 > 201.42.24.136	0xcd > 201.42.24.136	0x8d > 201.42.24.136	0x4d > 201.42.24.136	0x41 < 201.42.24.136	0x0 < 201.42.24.136	0x8d < 201.42.24.136	0xe1 > 201.42.24.136
0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
0	3	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3
0	5	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
0	2	3	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3	0	1	1	1	1	1	0	2	2	1	20	10	3	0	0	14	0
0	0	0	0	0	0	0	0	0	1	0	10	41	7	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	9	42	9	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	17	26	17	0	0	60	0
0	0	0	0	5	2	0	0	0	1	0	21	19	14	0	0	46	0
0	0	0	0	1	1	0	0	0	0	0	18	23	19	0	0	59	0
0	0	0	0	0	0	0	0	0	0	0	14	32	14	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	16	28	16	0	0	57	0
0	0	0	0	0	0	0	0	0	0	0	17	26	17	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	9	42	9	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	6	49	5	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	8	43	9	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	9	42	9	0	0	58	0
