# 0xd < 201.42.24.136	0xe1 < 201.42.24.136	0x1 > 201.42.24.136	0x61 < 201.42.24.136	0xcd < 201.42.24.136	0x4d < 201.42.24.136	0x61 > 201.42.24.136	0xc1 < 201.42.24.136	0x1 < 201.42.24.136	0xd > 201.42.24.136	0xc1 > 201.42.24.136	0xcd > 201.42.24.136	0x8d > 201.42.24.136	0x4d > 201.42.24.136	0x41 < 201.42.24.136	0x0 < 201.42.24.136	0x8d < 201.42.24.136	0xe1 > 201.42.24.136
0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	1	0	0	0	0	0	0	1	58	1	0	0	59	0
0	0	0	0	0	0	0	0	0	0	0	2	58	0	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	0	60	0	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	1	0	0	0	0	0	0	2	54	3	0	0	59	0
0	0	0	0	0	0	0	0	0	0	0	1	58	1	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	8	44	8	0	0	58	0
0	0	0	0	1	1	0	0	0	0	0	1	58	1	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	2	56	2	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	14	31	15	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	19	23	18	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	18	22	19	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	18	25	17	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	14	32	14	0	0	60	0
0	0	0	0	2	2	0	0	0	0	0	16	28	16	0	0	56	0
0	0	0	0	2	1	0	0	0	0	0	12	35	13	0	0	57	0
0	0	0	0	1	1	0	0	0	0	0	4	52	4	0	0	58	0
0	0	0	0	1	1	0	0	0	0	0	8	44	8	0	0	57	0
0	0	0	0	1	1	0	0	0	0	0	11	38	11	0	0	58	0
0	0	0	0	3	4	0	0	0	0	0	3	45	5	0	0	48	0
0	0	0	0	6	4	0	0	0	0	0	4	51	2	0	0	46	0
0	0	0	0	4	4	0	0	0	0	0	0	59	1	0	0	52	0
0	0	0	0	2	2	0	0	0	0	0	0	60	0	0	0	56	0
0	0	0	0	6	6	0	0	0	0	0	1	58	1	0	0	48	0
0	0	0	0	18	13	0	0	0	1	0	2	57	0	0	0	29	0
0	0	0	0	17	17	0	0	0	0	0	1	58	1	0	0	26	0
0	0	0	0	17	18	0	0	0	0	0	0	60	0	0	0	26	0
0	0	0	0	19	18	0	0	0	0	0	0	60	0	0	0	22	0
0	0	0	0	13	13	0	0	0	0	0	0	59	0	0	0	34	0
0	0	0	0	7	6	0	0	0	0	0	0	60	0	0	0	47	0
0	0	0	0	1	1	0	0	0	0	0	1	59	0	0	0	57	0
0	0	0	0	2	2	0	0	0	0	0	1	59	0	0	0	55	0
0	0	0	0	1	1	0	0	0	0	0	0	60	0	0	0	58	0
0	0	0	0	1	0	0	0	0	0	0	0	60	0	0	0	59	0
0	0	1	1	5	0	1	0	0	0	0	9	47	0	0	0	55	0
1	0	1	1	14	1	1	0	2	1	0	9	31	2	0	0	24	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	0	60	0	0	0	58	0
0	0	0	0	1	1	0	0	0	0	0	4	52	3	0	0	57	0
0	0	0	0	2	1	0	0	0	0	0	4	52	4	0	0	57	0
0	0	0	0	1	1	0	0	0	0	0	3	54	3	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	9	41	10	0	0	59	0
0	0	0	0	0	0	0	0	0	0	0	11	38	11	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	16	28	16	0	0	58	0
0	0	0	0	1	1	0	0	0	0	0	21	19	20	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	17	26	17	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	18	24	18	0	0	60	0
0	0	0	0	0	0	0	0	0	0	0	15	29	16	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	11	39	10	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	6	47	7	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	2	56	2	0	0	58	0
0	0	0	0	1	1	0	0	0	0	0	6	49	5	0	0	58	0
0	0	0	0	1	1	0	0	0	0	0	3	53	4	0	0	58	0
0	0	0	0	1	1	0	0	0	0	0	1	58	1	0	0	58	0
0	0	0	0	0	0	0	0	0	0	0	2	56	2	0	0	60	0
0	0	0	0	1	1	0	0	0	0	0	2	55	2	0	0	58	0
0	0	0	0	3	3	0	0	0	0	0	0	60	0	0	0	54	0
0	0	0	0	7	6	0	0	0	0	0	1	58	1	0	0	47	0
0	0	0	0	13	13	0	0	0	0	0	0	60	0	0	0	34	0
0	0	0	0	14	14	0	0	0	0	0	0	60	0	0	0	32	0
0	0	0	0	10	10	0	0	0	0	0	0	60	0	0	0	40	0
0	0	0	0	6	6	1	0	0	0	0	7	53	0	0	0	48	0
0	0	1	1	10	0	0	0	1	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
